id;nombre;desarrollador;jugadores;genero;PEGI;plataforma;ano_salida;descripcion
214;"Alan Wake 2";"Remedy Entertainment";"1";"Survival Horror";18;"PC, PS5, Xbox Series X/S";2022;"Vuelve a sumergirte en la oscura historia de Alan Wake, enfrenta a entidades sobrenaturales y descubre los misterios que acechan en la oscuridad."
215;"Lords of the Fallen";"CI Games";"1-4";"Acción, RPG";16;"PC, PS5, Xbox Series X/S";2023;"Explora un reino fantástico, enfrenta desafíos épicos y forja tu destino en este juego de acción y rol ambientado en un mundo de fantasía."
216;"Alan Wake Remastered";"Remedy Entertainment";"1";"Survival Horror";16;"PC, PS5, Xbox Series X/S";2021;"Revive la experiencia de Alan Wake con gráficos mejorados, contenido adicional y una nueva capa de suspense en este remaster del clásico survival horror."
217;"Call of Duty: Modern Warfare 3 (2023)";"Infinity Ward";"1-32";"Shooter, Multijugador en Línea";18;"PC, PS5, Xbox Series X/S";2023;"Regresa a la guerra moderna con intensos combates en línea, un modo historia épico y nuevas armas en la última entrega de la serie Call of Duty."
218;"Spider-Man: Miles Morales";"Insomniac Games";"1";"Acción-Aventura";16;"PS4, PS5";2020;"Embárcate en una nueva aventura como Miles Morales, el nuevo Spider-Man, lucha contra villanos y descubre tus propios poderes arácnidos."
219;"Baldur's Gate 3";"Larian Studios";"1-4";"RPG, Fantasía";16;"PC, PS5, Xbox Series X/S";2023;"Explora los Reinos Olvidados, forja alianzas y enfréntate a monstruos en este juego de rol épico basado en el universo de Dungeons & Dragons."
220;"Little Witch Academia: Chamber of Time";"Studio Magic";"1-4";"Acción, RPG";12;"PC, PS4, Switch";2018;"Únete a Akko y sus amigos en una mágica aventura en la Academia Luna Nova. Little Witch Academia: Chamber of Time ofrece acción, puzzles y la experiencia única de vivir la vida de una bruja novata."
221;"Creeping Terror";"Horror Studios";"1";"Survival Horror";18;"PC, Switch";2017;"Explora oscuros pasillos, enfrenta criaturas terroríficas y descubre los secretos de un antiguo terror que acecha en este juego de survival horror."
222;"Ford - Land Rover Offroad";"Gearhead Games";"1-8";"Carreras, Offroad";7;"PC, PS4, Xbox One";2019;"Embárcate en emocionantes carreras todoterreno con vehículos Ford y Land Rover. Desafía terrenos difíciles y compite para convertirte en el campeón del offroad."
223;"Syndicate - Jack el Destripador";"Dark Intrigue Games";"1";"Aventura, Misterio";16;"PC, PS5, Xbox Series X/S";2022;"Sumérgete en las sombras del Londres victoriano, investiga los crímenes de Jack el Destripador y descubre oscuros secretos en este juego de aventuras y misterio."
224;"Need for Speed: World Online";"Ghost Games";"1-32";"Carreras, Multijugador en Línea";12;"PC";2010;"Experimenta la emoción de las carreras urbanas en el mundo en línea de Need for Speed. Compite contra jugadores de todo el mundo y personaliza tu coche para alcanzar la victoria."
225;"Mega Man Battle Network";"Capcom";"1";"Acción, RPG";7;"GBA";2001;"Únete a MegaMan.EXE en el ciberespacio, lucha contra virus informáticos y descubre una trama intrigante en este juego de acción y rol de la serie Mega Man."
226;"Asphalt 3D";"Gameloft";"1-8";"Carreras";7;"3DS";2011;"Experimenta la velocidad en 3D con Asphalt 3D. Compite en emocionantes carreras, desafía a tus amigos y personaliza tu coche en este juego de carreras arcade."
227;"Sonic Riders";"Sonic Team";"1-4";"Carreras, Deportes";7;"GC, PS2, Xbox";2006;"Únete a Sonic y sus amigos en emocionantes carreras de tablas voladoras. Sonic Riders combina velocidad, acrobacias y poderes especiales en un juego de carreras único."
228;"Invizimals: La Alianza";"Novarama";"1-2";"Realidad Aumentada, Aventura";7;"PS Vita";2013;"Captura y entrena a criaturas invisibles en el mundo real con Invizimals: La Alianza. Utiliza la realidad aumentada para descubrir y enfrentarte a estas criaturas en emocionantes batallas."
229;"Borderlands 2: La Capitana Scarlett";"Gearbox Software";"1-4";"FPS, RPG";18;"PC, PS4, Xbox One";2012;"Embárcate en una nueva aventura pirata en el mundo de Pandora con La Capitana Scarlett y su botín. Borderlands 2 ofrece acción, humor y un vasto arsenal de armas."
230;"SMITE";"Hi-Rez Studios";"1-10";"MOBA, Multijugador en Línea";12;"PC, PS4, Xbox One";2014;"Únete a los dioses en épicas batallas en SMITE. Elige tu deidad, domina habilidades únicas y participa en emocionantes enfrentamientos en línea en este juego de MOBA en tercera persona."
231;"Scooby-Doo! el Pantano Tenebroso";"Mystery Inc. Games";"1-4";"Aventura, Misterio";7;"PC, PS4, Switch";2021;"Únete a Scooby-Doo y su pandilla en una nueva aventura, explora el pantano tenebroso, resuelve misterios y descubre la verdad detrás de las apariciones fantasmales."
232;"Battlefield 1 - In the name of the Tsar";"DICE";"1-64";"FPS, Multijugador en Línea";18;"PC, PS4, Xbox One";2017;"Sumérgete en el frente oriental de la Primera Guerra Mundial con el paquete de expansión In the name of the Tsar en Battlefield 1. Experimenta batallas épicas y nuevos escenarios en este juego de disparos."
233;"Clash: Artifacts of Chaos";"Epic Adventures";"1-8";"Acción, Aventura";16;"PC, PS5, Xbox Series X/S";2022;"Enfréntate a criaturas místicas, desentraña artefactos antiguos y descubre los secretos ocultos en este juego de acción y aventuras lleno de caos."
234;"Police Stories";"Magna Studios";"1-2";"Acción, Estrategia";16;"PC, PS4, Switch";2019;"Conviértete en un policía táctico, enfrenta situaciones peligrosas y toma decisiones rápidas en este juego de acción y estrategia táctica."
235;"Prototype - Biohazard Bundle";"Radical Entertainment";"1";"Acción, Aventura";18;"PC, PS4, Xbox One";2020;"Descubre tus poderes sobrenaturales en Prototype y enfrenta la amenaza biológica en Biohazard Bundle. Dos juegos en uno con acción frenética y tramas intrigantes."
236;"Buzz! The Hollywood Quiz";"Relentless Software";"1-8";"Trivia, Fiesta";12;"PS2, PS3";2008;"Pon a prueba tu conocimiento sobre Hollywood con Buzz! The Hollywood Quiz. Compite contra amigos en emocionantes partidas triviales y demuestra que eres la estrella del cine."
237;"Red Orchestra: Ostfront 41-45";"Tripwire Interactive";"1-64";"FPS, Simulación";16;"PC";2006;"Sumérgete en la brutalidad de la Segunda Guerra Mundial en el frente oriental con Red Orchestra: Ostfront 41-45. Experimenta combates realistas y tácticas de guerra en este juego de disparos."
238;"Snipers";"Stealth Tactics";"1-4";"FPS, Estrategia";16;"PC, PS4, Xbox One";2021;"Conviértete en un francotirador experto, planifica operaciones sigilosas y elimina objetivos en este juego de disparos táctico y estratégico."
239;"GTI Club Supermini Festa";"Sumo Digital";"1-4";"Carreras, Arcade";7;"PS3";2010;"Participa en emocionantes carreras de súper minis con GTI Club Supermini Festa. Compite en circuitos urbanos, personaliza tu coche y alcanza la victoria en este juego de carreras arcade."
240;"Nintendogs: Dálmata & Compañía";"Nintendo";"1";"Simulación, Cuidado de Mascotas";3;"DS";2006;"Adopta y cuida a lindos dálmatas en Nintendogs: Dálmata & Compañía. Entrena a tus mascotas, participa en concursos y vive la experiencia de tener tu propio perro virtual."
241;"Subterrain";"Pixellore";"1";"Survival Horror, Acción";18;"PC, PS4, Xbox One";2016;"Sobrevive en una estación subterránea infestada de monstruos en Subterrain. Recoge recursos, mejora tu equipo y enfrenta horrores en este juego de survival horror y acción."
242;"Donde viven los monstruos";"Wild Imagination";"1";"Aventura, Fantasía";7;"PC, PS4, Switch";2022;"Embárcate en una travesía imaginativa en Donde viven los monstruos. Explora un mundo mágico, conoce criaturas extraordinarias y descubre la amistad en este juego de aventuras y fantasía."
243;"Major League Baseball 2K9";"2K Sports";"1-2";"Deportes, Simulación";3;"PS2, PS3, Xbox 360";2009;"Vive la emoción del béisbol profesional con Major League Baseball 2K9. Juega como tus equipos favoritos, participa en la temporada y demuestra tus habilidades en el diamante."
244;"Ys I & II Chronicles";"Nihon Falcom";"1";"RPG, Acción";12;"PSP";2009;"Explora los misteriosos reinos de Ys en Ys I & II Chronicles. Lucha contra monstruos, descubre artefactos antiguos y vive una epopeya de acción y rol en este juego clásico de la serie Ys."
245;"Story of Seasons";"Marvelous";"1-4";"Simulación, Agricultura";3;"Switch";2015;"Crea y gestiona tu propia granja en Story of Seasons. Cultiva cultivos, cuida animales y construye relaciones en este juego de simulación de agricultura."
246;"Resident Evil 6 (2016)";"Capcom";"1-6";"Survival Horror, Acción";18;"PC, PS4, Xbox One";2016;"Enfrenta el horror biológico en Resident Evil 6. Lucha contra hordas de zombis, descubre conspiraciones y sobrevive en un mundo plagado de monstruos."
247;"LEGO: El Hobbit";"TT Games";"1-2";"Aventura, Acción";7;"PC, PS4, Xbox One";2014;"Revive la épica travesía de Bilbo Bolsón en LEGO: El Hobbit. Explora la Tierra Media, resuelve acertijos y únete a la compañía en esta aventura llena de humor y bloques."
248;"Doom 3 BFG Edition";"id Software";"1";"FPS, Horror";18;"PC, PS4, Xbox One";2012;"Sumérgete en el infierno en Doom 3 BFG Edition. Enfréntate a demonios, descubre secretos oscuros y vive una experiencia aterradora en este juego de disparos y horror."
249;"STING";"Digital Dynamics";"1-4";"Aventura, Estrategia";12;"PC, PS5, Xbox Series X/S";2023;"Explora un mundo de fantasía, resuelve acertijos y enfrenta criaturas místicas en STING. Este juego de aventuras y estrategia te sumergirá en una historia cautivadora."
250;"The Book of Unwritten Tales 2";"King Art Games";"1-4";"Aventura, Fantasía";12;"PC, PS4, Switch";2015;"Embárcate en una épica aventura en The Book of Unwritten Tales 2. Resuelve acertijos, conoce personajes peculiares y descubre un mundo de fantasía lleno de humor."
251;"Luto";"Mystic Realms";"1";"Aventura, Horror";18;"PC, PS5, Xbox Series X/S";2022;"Explora los rincones oscuros de una mente atormentada en Luto. Este juego de aventuras y horror te sumergirá en una experiencia psicológica única."
252;"The Last of Us - Left Behind";"Naughty Dog";"1";"Acción-Aventura";18;"PS4";2014;"Vive una emotiva historia en The Last of Us - Left Behind. Explora el pasado de Ellie y Riley en este DLC que complementa la historia del juego principal."
253;"Tainted Grail";"Awaken Realms";"1-4";"Aventura, Rol";16;"PC, PS5, Xbox Series X/S";2021;"Adéntrate en un mundo oscuro y misterioso en Tainted Grail. Forja tu destino, enfrenta criaturas místicas y descubre los secretos de la Grail en este juego de aventuras y rol."
254;"NBA 2K20";"Visual Concepts";"1-10";"Deportes, Simulación";3;"PC, PS4, Xbox One";2019;"Conviértete en una leyenda del baloncesto en NBA 2K20. Juega en la NBA, mejora tu jugador y vive la experiencia completa de la vida en la cancha."
255;"Phantom Brave: We Meet Again";"Nippon Ichi Software";"1";"Estrategia, Rol";12;"Switch";2009;"Lidera un grupo de héroes inusuales en Phantom Brave: We Meet Again. Domina tácticas de batalla únicas y enfréntate a desafíos en este juego de estrategia y rol."
256;"Need for Speed Ridge Racer 3D";"EA, Namco Bandai";"1-8";"Carreras";7;"3DS";2011;"Experimenta la emoción de las carreras en Need for Speed Ridge Racer 3D. Compite en circuitos trepidantes y personaliza tu coche para alcanzar la victoria."
257;"Teslagrad";"Rain Games";"1";"Plataformas, Puzzle";7;"PC, PS4, Switch";2013;"Descubre los secretos de la torre de Teslagrad. Utiliza poderes magnéticos, resuelve acertijos y explora un mundo steampunk en este juego de plataformas y puzzle."
258;"FIFA 20: Ultimate Team";"EA Sports";"1-11";"Deportes, Simulación";3;"PC, PS4, Xbox One";2019;"Crea tu equipo definitivo en FIFA 20: Ultimate Team. Participa en emocionantes partidos, completa desafíos y lleva a tu equipo hacia la gloria en este juego de fútbol."
259;"Mario y Sonic: JJOO - Río 2016";"Sega";"1-4";"Deportes, Fiesta";7;"Wii U, 3DS";2016;"Únete a Mario, Sonic y sus amigos en los Juegos Olímpicos de Río 2016. Compite en una variedad de deportes y celebra la diversión en este juego de deportes y fiesta."
260;"Horizon (2014)";"Aurora Studios";"1-8";"MMORPG, Fantasía";12;"PC";2014;"Embárcate en una épica aventura en Horizon. Explora un vasto mundo de fantasía, lucha contra criaturas místicas y forja tu leyenda en este juego de rol multijugador en línea."
261;"Seven Deadly Sins";"Sinful Games";"1-4";"Acción, Aventura";16;"PC, PS4, Xbox One";2021;"Enfrenta a los pecados capitales en Seven Deadly Sins. Lucha contra demonios, descubre conspiraciones y vive una historia llena de acción y aventuras."
262;"Need for Speed Most Wanted";"Criterion Games";"1-8";"Carreras, Multijugador en Línea";12;"PC, PS4, Xbox One";2012;"Conviértete en el conductor más buscado en Need for Speed Most Wanted. Escapa de la policía, personaliza tu coche y compite en emocionantes carreras en línea."
263;"Evolve";"Turtle Rock Studios";"1-5";"FPS, Multijugador en Línea";18;"PC, PS4, Xbox One";2015;"Caza o sé cazado en Evolve. Únete a un equipo de cazadores para enfrentarte a monstruos gigantes en intensos combates en línea."
264;"Blazing Chrome";"Joymasher";"1-2";"Run and Gun";12;"PC, PS4, Switch";2019;"Embárcate en una misión explosiva en Blazing Chrome. Dispara a todo lo que se mueva, enfrenta jefes colosales y salva la humanidad en este juego de estilo retro."
265;"Oddworld: Munch's Oddysee";"Oddworld Inhabitants";"1";"Aventura, Plataformas";12;"PC, PS4, Xbox One";2001;"Acompaña a Munch en su búsqueda de salvar a su especie en Oddworld: Munch's Oddysee. Resuelve acertijos, evita enemigos y descubre un mundo lleno de criaturas peculiares."
266;"Call of Duty: Infinite Warfare - Sabotage";"Infinity Ward";"1-18";"FPS, Multijugador en Línea";18;"PC, PS4, Xbox One";2017;"Amplía la experiencia de Infinite Warfare con el DLC Sabotage. Participa en nuevos mapas multijugador y sumérgete en el caos de los zombis en este contenido adicional."
267;"Hellpoint";"Cradle Games";"1-2";"Action RPG, Horror";16;"PC, PS4, Xbox One";2020;"Explora una estación espacial infestada de criaturas oscuras en Hellpoint. Desentraña los misterios, mejora tu personaje y enfrenta horrores cósmicos en este juego de acción y rol."
268;"Phantomers: Insurrección";"NettGame";"1-32";"FPS, Multijugador en Línea";16;"PC";2016;"Participa en intensas batallas en Phantomers: Insurrección. Elige entre diferentes clases, utiliza armas personalizables y demuestra tus habilidades en este juego de disparos en línea."
269;"Battle of Europe";"Dogfight Studios";"1-32";"Simulación, Vuelo";12;"PC";2022;"Enfréntate aéreamente en la Segunda Guerra Mundial con Battle of Europe. Pilotea aviones icónicos, participa en intensos combates y haz historia en este simulador de vuelo."
270;"Moon Lord";"Lunar Games";"1";"Aventura, Indie";12;"PC, PS5, Xbox Series X/S";2021;"Explora los misterios lunares en Moon Lord. Descubre secretos, enfrenta criaturas alienígenas y desentraña los enigmas de la luna en este juego de aventuras indie."
271;"Lord of the Rings: The War of the Ring";"Middle-earth Studios";"1-8";"Estrategia, Fantasía";16;"PC";2003;"Sumérgete en la Tierra Media con Lord of the Rings: The War of the Ring. Comanda ejércitos, conquista territorios y vive la épica guerra del Anillo en este juego de estrategia."
272;"SOCOM 3";"Zipper Interactive";"1-32";"Táctico, Multijugador en Línea";16;"PS2";2005;"Únete a las fuerzas especiales en SOCOM 3. Participa en operaciones tácticas, coordina con tu equipo y enfréntate a desafíos en este juego de disparos en tercera persona."
273;"Way of the Samurai 3";"Acquire";"1";"Acción, Aventura";16;"PC, PS4, Switch";2008;"Forja tu propio camino en el Japón feudal con Way of the Samurai 3. Toma decisiones, enfrenta a samuráis rivales y vive una historia única en este juego de acción y aventuras."
274;"Disciples: Liberation";"Frima Studio";"1";"Estrategia, RPG";16;"PC, PS5, Xbox Series X/S";2021;"Lidera tu ejército en Disciples: Liberation. Conquista reinos, mejora a tus héroes y sumérgete en una épica historia de estrategia y rol."
275;"Knights of Light";"Skyrim Games";"1-4";"Acción, RPG";16;"PC, PS5, Xbox Series X/S";2023;"Embárcate en una cruzada medieval en Knights of Light. Lucha contra enemigos épicos, forja alianzas y descubre los misterios de un reino en guerra."
276;"Farming Simulator 19";"GIANTS Software";"1-16";"Simulación, Agricultura";3;"PC, PS4, Xbox One";2018;"Vive la vida del campo en Farming Simulator 19. Cultiva cultivos, cría animales y gestiona tu propia granja en este simulador agrícola realista."
277;"UEFA EURO 2008";"EA Sports";"1-4";"Deportes, Simulación";3;"PC, PS3, Xbox 360";2008;"Participa en la emoción de la Eurocopa 2008 con UEFA EURO 2008. Elige tu equipo nacional, juega en estadios emblemáticos y busca la gloria en este juego de fútbol."
278;"Shadowrun: Dragonfall";"Harebrained Schemes";"1";"RPG, Estrategia";16;"PC";2014;"Explora el ciberpunk de Shadowrun: Dragonfall. Forma un equipo de mercenarios, realiza misiones peligrosas y descubre conspiraciones en este juego de rol y estrategia."
279;"Rapala Pro Bass Fishing";"Activision";"1-4";"Deportes, Pesca";3;"PS2, PS3, Xbox 360";2010;"Sumérgete en la emoción de la pesca en Rapala Pro Bass Fishing. Elige tus cebos, encuentra los mejores lugares y captura trofeos en este juego de deportes y pesca."
280;"God of War: Betrayal";"Javaground";"1";"Acción, Plataformas";16;"Móviles";2007;"Continúa la saga de God of War en God of War: Betrayal. Enfréntate a dioses y monstruos mitológicos en esta aventura de acción y plataformas para dispositivos móviles."
281;"The Great Ace Attorney";"Capcom";"1";"Aventura, Novela Visual";16;"3DS";2015;"Conviértete en un abogado en la era victoriana con The Great Ace Attorney. Investiga casos, presenta pruebas y defiende a tus clientes en este juego de aventuras y novela visual."
282;"Little Orpheus";"The Chinese Room";"1";"Aventura, Plataformas";12;"Apple Arcade";2020;"Explora mundos fantásticos en Little Orpheus. Resuelve acertijos, enfrenta criaturas místicas y vive una épica historia en este juego de aventuras y plataformas exclusivo de Apple Arcade."
283;"Predecessor";"OGHQ";"1-5";"MOBA, Multijugador en Línea";12;"PC";2023;"Únete a la batalla en Predecessor. Elige tu héroe, forma estrategias con tu equipo y participa en emocionantes combates en este juego de MOBA en tercera persona."
284;"Resident Evil 4 (2016)";"Capcom";"1";"Survival Horror, Acción";18;"PC, PS4, Xbox One";2016;"Revive el clásico del horror en Resident Evil 4 (2016). Enfréntate a hordas de infectados, descubre conspiraciones y sobrevive en esta remasterización del icónico juego de terror."
285;"One Piece: Bounty Rush";"Bandai Namco";"1-8";"Acción, Multijugador en Línea";12;"iOS, Android";2018;"Únete a la tripulación de Luffy en One Piece: Bounty Rush. Saquea tesoros, lucha contra otros piratas y vive la emoción de la serie en este juego de acción en línea para dispositivos móviles."
286;"Quake III Arena";"id Software";"1-16";"FPS, Multijugador en Línea";16;"PC";1999;"Sumérgete en la acción frenética de Quake III Arena. Enfréntate a jugadores de todo el mundo en intensos combates en línea en este clásico juego de disparos en primera persona."
287;"Silence";"Daedalic Entertainment";"1";"Aventura, Fantasía";12;"PC, PS4, Switch";2016;"Embárcate en un viaje mágico en Silence. Resuelve acertijos, enfrenta peligros y descubre los secretos de un mundo de fantasía en este juego de aventuras."
288;"Driver 3";"Reflections Interactive";"1";"Acción, Carreras";18;"PS2, Xbox";2004;"Conviértete en un conductor intrépido en Driver 3. Participa en emocionantes persecuciones, realiza misiones arriesgadas y explora ciudades en este juego de acción y carreras."
289;"Sparta 2";"Spartan Studios";"1-8";"Estrategia, Acción";16;"PC";2022;"Lidera tu ejército en Sparta 2. Construye tu ciudad, entrena tropas y conquista territorios en este juego de estrategia y acción ambientado en la antigua Grecia."
290;"Golem Gates";"Laser Guided Games";"1-4";"Estrategia, Cartas";12;"PC, PS4, Xbox One";2018;"Controla a poderosos golems en Golem Gates. Utiliza cartas tácticas, despliega unidades y participa en batallas estratégicas en este juego de estrategia y cartas."
291;"Donkey Kong Jr.";"Nintendo";"1-2";"Arcade, Plataformas";7;"Arcade";1982;"Acompaña a Donkey Kong Jr. en su misión para rescatar a su padre. Supera obstáculos, esquiva enemigos y demuestra tus habilidades en este clásico juego de plataformas de arcade."
292;"Serious Sam: First Encounter";"Croteam";"1-16";"FPS, Acción";18;"PC";2001;"Enfrenta hordas de enemigos alienígenas en Serious Sam: First Encounter. Disfruta de acción frenética, potentes armas y niveles llenos de desafíos en este clásico juego de disparos en primera persona."
293;"Sports Champions";"Zindagi Games";"1-4";"Deportes, Fiesta";7;"PS3";2010;"Participa en emocionantes competiciones deportivas en Sports Champions. Utiliza los controles de movimiento, compite contra amigos y demuestra quién es el campeón en este juego de deportes y fiesta."
294;"ANNO 1503: Expansión Manager de Liga 2007";"Ubisoft";"1";"Estrategia, Gestión";7;"PC";2003;"Expande tu imperio en ANNO 1503: Expansión Manager de Liga 2007. Construye ciudades, gestiona recursos y lidera tu civilización hacia la grandeza en este juego de estrategia y gestión."
295;"Los Sims: Medieval";"Maxis";"1";"Simulación, Estrategia";12;"PC";2011;"Sumérgete en la época medieval con Los Sims: Medieval. Construye reinos, dirige héroes y crea tu propia historia en este juego de simulación y estrategia."
296;"El Increíble Hulk";"Edge of Reality";"1";"Acción, Aventura";16;"PC, PS2, Xbox 360";2008;"Embárcate en una aventura verde en El Increíble Hulk. Destroza la ciudad, enfrenta enemigos poderosos y descubre la furia del Gigante Esmeralda en este juego de acción y aventuras."
297;"LocoRoco Remastered";"SIE Japan Studio";"1";"Plataformas, Puzzle";3;"PS4";2017;"Ayuda a los adorables LocoRocos a salvar su mundo en LocoRoco Remastered. Roda, salta y canta en este encantador juego de plataformas y puzzle."
298;"Gekido Kintaro's Revenge";"NAPS team";"1-4";"Acción, Beat 'em up";12;"Switch";2021;"Enfréntate a la oscuridad en Gekido Kintaro's Revenge. Golpea a tus enemigos, desata combos poderosos y revive la acción clásica de los beat 'em up en este juego de acción."
299;"Loadout";"Edge of Reality";"1-4";"Acción, Shooter";16;"PC, PS4, Xbox One";2014;"Personaliza tu arsenal en Loadout. Diseña armas únicas, lucha en intensos combates y demuestra quién es el mejor en este juego de acción y disparos."
300;"Monster Hunter: Massive Hunting";"Capcom";"1-4";"Acción, RPG";12;"PSP";2006;"Caza monstruos colosales en Monster Hunter: Massive Hunting. Forma equipo con otros cazadores, mejora tu equipo y enfrenta desafíos épicos en este juego de acción y rol."
301;"Worms WMD";"Team17";"1-6";"Estrategia, Acción";12;"PC, PS4, Switch";2016;"Desata el caos con Worms WMD. Utiliza armas extravagantes, planea estrategias y enfrenta a tus amigos en intensos combates de gusanos en este juego de estrategia y acción."
302;"Heroes of Might and Magic III HD";"Limbic Entertainment";"1-8";"Estrategia, Fantasía";7;"PC";2015;"Sumérgete en el mundo de la fantasía con Heroes of Might and Magic III HD. Recluta héroes, conquista territorios y libra batallas estratégicas en este clásico juego de estrategia."
303;"Painkiller: Hell & Damnation";"The Farm 51";"1-4";"FPS, Horror";18;"PC, PS3, Xbox 360";2012;"Enfréntate a criaturas infernales en Painkiller: Hell & Damnation. Utiliza armas poderosas, enfrenta horrores demoníacos y lucha por tu supervivencia en este juego de disparos y horror."
304;"IL-2 Sturmovik: The Cliffs of Dover";"1C: Maddox Games";"1-32";"Simulación, Vuelo";12;"PC";2011;"Participa en intensos combates aéreos en IL-2 Sturmovik: The Cliffs of Dover. Pilotea aviones de la Segunda Guerra Mundial y vive la emoción de la batalla en este simulador de vuelo."
305;"Let's Tap";"Prope";"1-4";"Fiesta, Música";3;"Wii";2008;"Disfruta de la música y la diversión en Let's Tap. Utiliza el ritmo de tus dedos en la superficie para jugar en este juego de fiesta único para la Wii."
306;"Day of Dragons";"Beawesome Games";"1-200";"Aventura, Supervivencia";16;"PC";2020;"Sobrevive y evoluciona en Day of Dragons. Explora un mundo vasto, interactúa con otros jugadores y conviértete en el dragón definitivo en este juego de aventuras y supervivencia."
307;"Profesor Layton y la Caja de Pandora";"Level-5";"1";"Aventura, Puzzle";12;"DS";2007;"Únete al Profesor Layton en una nueva aventura en Profesor Layton y la Caja de Pandora. Resuelve intrincados acertijos, descubre misterios y desentraña una trama cautivadora en este juego de aventuras y puzzle."
308;"La Tierra Media: Sombras de Guerra (Movil)";"Monolith Productions";"1";"Acción, RPG";16;"iOS, Android";2017;"Lucha por la Tierra Media en La Tierra Media: Sombras de Guerra (Móvil). Recluta guerreros, enfrenta a las fuerzas de Sauron y vive una épica historia en este juego de acción y rol para dispositivos móviles."
309;"La Tierra Media: Sombras de Guerra";"Monolith Productions";"1";"Acción, RPG";16;"PC, PS4, Xbox One";2017;"Lucha contra las fuerzas oscuras en La Tierra Media: Sombras de Guerra. Forja un ejército, conquista fortalezas y enfrenta a los siervos de Sauron en este juego de acción y rol."
310;"Batman: Arkham Knight - Batgirl";"Rocksteady Studios";"1";"Acción-Aventura";18;"PC, PS4, Xbox One";2015;"Embárcate en una misión con Batgirl en Batman: Arkham Knight - Batgirl. Resuelve misterios, enfrenta enemigos icónicos y protege Gotham en este DLC de la aclamada saga."
311;"Luigi's Mansion 3";"Next Level Games";"1-8";"Acción-Aventura, Fantasía";7;"Switch";2019;"Acompaña a Luigi en una nueva aventura en Luigi's Mansion 3. Explora un hotel embrujado, captura fantasmas y rescata a Mario en este encantador juego de acción y aventuras."
312;"Iron Harvest 1920+";"King Art Games";"1-6";"Estrategia, Acción";16;"PC, PS5, Xbox Series X/S";2020;"Sumérgete en una realidad alternativa en Iron Harvest 1920+. Pilotea mechs gigantes, libra batallas estratégicas y vive la emoción de la posguerra en este juego de estrategia y acción."
313;"The Curious Tale of the Stolen Pets";"Fast Travel Games";"1";"Aventura, Puzzle";3;"PC, PS4, Quest";2019;"Embárcate en una búsqueda encantadora en The Curious Tale of the Stolen Pets. Resuelve acertijos, explora mundos diminutos y recupera las mascotas robadas en este juego de aventuras y puzzle."
314;"Hard West";"CreativeForge Games";"1";"Táctico, RPG";16;"PC";2015;"Adéntrate en el Salvaje Oeste sobrenatural en Hard West. Toma decisiones difíciles, enfrenta a bandidos y descubre el oscuro secreto detrás de la frontera en este juego táctico y de rol."
315;"Hotline Miami 2: Wrong Number";"Dennaton Games";"1-2";"Acción, Shooter";18;"PC, PS4, PS Vita";2015;"Regresa a la frenética acción de Hotline Miami en Hotline Miami 2: Wrong Number. Enfréntate a bandas rivales, desata caos y demuestra tu habilidad en este juego de acción y disparos."
316;"Sonic Colours: Ultimate";"Blind Squirrel Games";"1";"Plataformas, Acción";3;"PC, PS4, Xbox One";2021;"Acompaña a Sonic en una aventura intergaláctica en Sonic Colours: Ultimate. Recorre mundos coloridos, enfrenta a Eggman y recoge anillos en este juego de plataformas y acción."
317;"Paranautical Activity: Deluxe Atonement Edition";"Code Avarice";"1";"FPS, Rogue-like";18;"PC, PS4, Xbox One";2015;"Explora mundos generados aleatoriamente en Paranautical Activity: Deluxe Atonement Edition. Enfréntate a criaturas mortales, mejora tus armas y supera desafíos en este juego de acción y rogue-like."
318;"Way of the Samurai 4";"Acquire";"1";"Acción, Aventura";16;"PC, PS3";2011;"Forja tu propio destino en el Japón feudal con Way of the Samurai 4. Toma decisiones, enfrenta a clanes rivales y vive una historia única en este juego de acción y aventuras."
319;"Racecraft";"Vae Victis Games";"1-16";"Carreras, Multijugador en Línea";3;"PC";2019;"Compite en pistas personalizables en Racecraft. Diseña tu propio circuito, elige tu vehículo y participa en emocionantes carreras en este juego de carreras y multijugador en línea."
320;"Violett";"Forever Entertainment";"1";"Aventura, Puzzle";12;"PC, PS4, Switch";2013;"Embárcate en un viaje surrealista en Violett. Resuelve acertijos, explora mundos fantásticos y descubre los secretos que se esconden en este juego de aventuras y puzzle."
321;"Silent Hunter 3";"Ubisoft";"1";"Simulación, Estrategia";12;"PC";2005;"Sumérgete en las profundidades del océano en Silent Hunter 3. Comanda un submarino, caza convoyes y vive la emoción de la guerra submarina en este simulador de submarinos y estrategia."
322;"Crash Bandicoot: N. Sane Trilogy";"Vicarious Visions";"1";"Plataformas, Aventura";7;"PC, PS4, Switch";2017;"Acompaña a Crash en sus locas aventuras en Crash Bandicoot: N. Sane Trilogy. Salta, gira y corre a través de niveles clásicos remasterizados en este juego de plataformas y aventuras."
323;"The Settlers Online";"Blue Byte";"1-4";"Estrategia, Construcción";7;"PC";2012;"Construye tu imperio en The Settlers Online. Desarrolla tu ciudad, comercia con otros jugadores y conquista territorios en este juego de estrategia y construcción en línea."
